Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,VolChange,LogVolChange,GarmanKlass,LogGarmanKlass,Delta_LogGK,Log Returns_Weekly,LogVolChange_Weekly,Delta_LogGK_Weekly,Log Returns_Monthly,LogVolChange_Monthly,Delta_LogGK_Monthly
2022-04-15,39933.888799896726,40596.1495,39837.744139263465,40558.127,62222356110.22222,764750253259.7134,0.0162469239242837,0.0161163549865285,-0.4398845108647231,-0.5796122859168401,0.0092131656017063,-4.687121774230567,-1.0219476050691072,-0.040905124884101855,-0.007292411194114834,0.10226572258672251,-0.013645817940716289,-0.006011549852594555,-0.041399068971666786
2022-04-16,40554.4702,40645.81037104386,40005.0641,40386.5108,35562888234.666664,767846795179.5785,-0.0042313640371016,-0.0042403415917268,-0.4284548117774633,-0.5594117293673494,0.0109356308709251,-4.515728933703199,0.1713928405273685,-0.05711650616860382,-0.07566130560005035,-0.07842817601192253,-0.012951055734603941,-0.016883428928160527,0.00017444187768078656
2022-04-17,40374.3856,40565.43547999705,39617.521,39678.0001,31897051043.55556,766257664501.561,-0.0175432510995725,-0.0176989576830862,-0.1030804125615885,-0.1087890670528176,0.012751613835561,-4.362097440049562,0.1536314936536369,-0.06043732713855471,-0.0231840872464808,-0.453197226200694,-0.05096247367790507,-0.01091759103733736,-0.023473044589062964
2022-04-18,39695.5398,41023.07300521606,38723.5499,40826.6711,60921696974.22222,754101790795.4287,0.0289498209865672,0.0285386908296014,0.9099476277927192,0.6470758216787914,0.0368636414621932,-3.300529539916477,1.0615679001330849,0.03228706727568012,-0.041701672789209,0.15296427873577434,-0.03326260160221046,0.006955891197691244,0.0865812752714108
2022-04-19,40799.9436,41633.6102,40608.30249202884,41504.4185,70678190372.57143,780493478213.8535,0.0166006040105484,0.0164643201781852,0.1601480898090785,0.1485476605984817,0.0140596235500698,-4.264448167490788,-0.9639186275743112,0.035048141990604555,-0.02243555685520704,0.040648554813194515,0.006879626431849522,0.01588292169744321,0.00873412983159505
2022-04-20,41493.8019,42130.14252492599,40954.56863452065,41363.50366362778,69240966368.78049,788247505332.2672,-0.003395176741778,-0.0034009534332972,-0.0203347595094722,-0.0205443570093256,0.0199154803322575,-3.916257943520258,0.3481902239705303,0.005618944166986961,-0.009270982902474856,0.24949929360810996,0.007254000915751173,0.010318685001454497,-4.325988922526669e-05
2022-04-21,41353.67675611718,42940.9,39951.301132489774,40528.7777,73691646478.22223,792867627807.1145,-0.0201802528725771,-0.0203866557376225,0.0642781339263409,0.0622967608254726,0.0494667231345862,-3.006455095382856,0.9098028481374016,0.014786975514073984,-0.08848432997183764,0.19756643330552492,-0.044239999967706375,0.0037980682161808943,-0.015819417040002115
2022-04-22,40480.3508,40759.0684,39285.1652,39757.5541,81778114660.25175,763437909024.0104,-0.0190290367429462,-0.0192124189811835,0.1097338513724115,0.1041202130356041,0.0235134386984031,-3.750183161774844,-0.7437280663919874,-0.019846150399825367,0.04724575393839103,-0.006476990743589983,-0.0761136398442047,0.013017308891019042,-0.03346799276437862
2022-04-23,39715.1349,39929.32287307091,39348.95154624849,39419.5301,61949621809.77778,754477694660.1115,-0.0085021326802394,-0.0085384819880283,-0.2424669843863692,-0.2776881575799205,0.0092535161672669,-4.682751673496441,-0.9325685117215978,-0.023934182781050705,0.06040488708702085,-0.006703774527796913,-0.10987365720254146,0.0017875886078826397,-0.06013029504705791
2022-04-24,39441.6583,39846.0109,39140.6639,39479.99697027191,39181600746.66666,753730386333.313,0.0015339317875813,0.001532756515921,-0.3675247789731873,-0.4581142353900642,0.0126147465773801,-4.372888786081777,0.3098628874146643,-0.005444695950181902,0.016052695358290237,0.02007488958456749,-0.11551589971531163,-0.012721074410318778,-0.01311144776485662
