date,mu,var,VaR_95,actual
2024-02-24,-0.0397838352602122,7.135352387225018,-1.2544465543691228,0.3571088600847003
2024-02-25,-0.038706497583676974,7.151519399300903,-1.254789897533307,-1.116689842789808
2024-02-26,-0.03903941706242524,8.011874472889485,-1.3268953862042507,1.4778673941963394
2024-02-27,-0.03730014123256563,8.961004333173385,-1.398253477875684,1.653790401559147
2024-02-28,-0.03527304567435695,9.579917534619607,-1.4412895915071997,2.640956263780648
2024-02-29,0.0866071469831162,5.092138993866062,-1.3202298451162944,-0.010684413052531757
2024-03-01,-0.03285503724161057,8.335978459753075,-1.3431722743719952,0.12126131534590005
2024-03-02,-8101.06602361897,1.7976931348622732e+308,-1.132280550085825e+154,0.7650986031321114
2024-03-03,-0.0320153933766526,7.808137179800029,-1.3000552961957412,0.2521246112734985
2024-03-04,-0.03152764497821792,7.34918689366965,-1.26189498156148,1.5012302318800295
2024-03-05,-0.02816014183925753,8.769402161286726,-1.3712715997743312,1.998216027190094
2024-03-06,-0.5702051613001033,1.7976931348622732e+308,-6.550404250161328e+153,2.2830239129061463
2024-03-07,-0.022752785876518942,10.934678283161569,-1.5203498628417191,1.0992387448504586
2024-03-08,-4362.496645318519,0.0,-4362.496645318519,-0.12451616645814681
2024-03-09,-2854.344289698214,1.7976931348622732e+308,-1.3057920847779713e+154,-0.17406278385642654
2024-03-10,-13.725422086332063,724.8436696971689,-55.21661119645698,0.24951134591241295
2024-03-11,-3.1189328039591744,5.281444545643676,-6.641402048203334,2.3386215889368165
2024-03-12,-0.00907007211585884,10.063089351047184,-1.4433511956266338,0.2364473229359323
